experiment,platform,case,design,sampler,seed,sample_index,sample_kind,zmconv_c0_lnd,zmconv_c0_lnd_numeric,zmconv_c0_ocn,zmconv_c0_ocn_numeric,cldfrc_dp1,cldfrc_dp1_numeric,zmconv_dmpdz,zmconv_dmpdz_numeric,zmconv_ke,zmconv_ke_numeric,zmconv_alfa,zmconv_alfa_numeric,zmconv_tau,zmconv_tau_numeric,ice_sed_ai,ice_sed_ai_numeric,cldfrc2m_rhmaxi,cldfrc2m_rhmaxi_numeric,clubb_gamma_coef,clubb_gamma_coef_numeric,clubb_C8,clubb_C8_numeric,clubb_beta,clubb_beta_numeric,clubb_C2rt,clubb_C2rt_numeric,clubb_c_K10,clubb_c_K10_numeric,clubb_C1,clubb_C1_numeric,clubb_C6rt,clubb_C6rt_numeric,effgw_oro,effgw_oro_numeric
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_000,digitalnetb2,QMCPy DigitalNetB2,20260428,0,digitalnetb2,0.0010620489,0.0010620488544623565,0.004004029,0.004004029005309872,0.02124491D0,0.021244910391044692,-1.64094919e-03,-0.0016409491925534559,7.55260558E-06,7.552605576450309e-06,0.54611924D0,0.5461192382691714,13817.46,13817.459788690432,1267.0293,1267.0293106761583,1.0783492D0,1.0783492077039554,0.19055934,0.19055933633097885,5.1000147,5.10001469437633,1.2368217,1.2368216988137388,0.75838828D0,0.7583882832077427,0.36536769,0.36536768916729534,1.8179147,1.8179146570987887,3.0477519,3.047751903770646,0.16699844,0.16699844113957646
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_001,digitalnetb2,QMCPy DigitalNetB2,20260428,1,digitalnetb2,0.0040891659,0.004089165895199956,0.0021815834,0.002181583433793265,0.081036933D0,0.0810369331911369,-9.38132701e-04,-0.0009381327007519163,1.20883759E-06,1.2088375874356873e-06,0.22250344D0,0.22250343952956175,4435.2125,4435.212500944733,451.30515,451.30515499231797,1.0236359D0,1.023635902819085,0.46790666,0.46790666059241914,2.5881536,2.5881536184078726,2.1621777,2.16217768865215,1.5289403D0,1.5289403127659478,0.90068807,0.9006880727563549,4.3078458,4.307845769607887,5.5504505,5.550450481582079,0.29260813,0.29260812947448855
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_002,digitalnetb2,QMCPy DigitalNetB2,20260428,2,digitalnetb2,0.0025454252,0.0025454251508352198,0.0032058369,0.0032058369480579556,0.079346001D0,0.0793460014223316,-3.70495868e-04,-0.0003704958676808896,8.04129859E-06,8.041298588251177e-06,0.34442973D0,0.34442972602519045,5471.1629,5471.162918797741,1025.9976,1025.9976043064412,1.0516352D0,1.051635162134868,0.27181262,0.2718126188596779,7.5096988,7.509698812319532,1.829421,1.8294210337780599,1.9702944D0,1.9702944207186261,1.1584349,1.1584349025156933,2.1188189,2.118818931426482,7.8086996,7.808699610262012,0.2116918,0.21169179722271636
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_003,digitalnetb2,QMCPy DigitalNetB2,20260428,3,digitalnetb2,0.0051045509,0.005104550939801754,0.0051651488,0.005165148806786458,0.059143822D0,0.05914382237543585,-1.25039411e-03,-0.0012503941116925128,4.29017672E-06,4.290176718993839e-06,0.18677874D0,0.18677874086505059,8651.9415,8651.941487024356,760.01075,760.0107494328673,1.0438468D0,1.0438468402560073,0.3991526,0.39915260357806626,4.7722867,4.77228668975598,2.7556275,2.7556274536086365,1.2114586D0,1.2114586384407786,0.56859475,0.5685947549506583,3.5069396,3.5069395767298834,5.3205713,5.320571277271546,0.32760284,0.3276028366555862
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_004,digitalnetb2,QMCPy DigitalNetB2,20260428,4,digitalnetb2,0.0017520058,0.0017520058274847492,0.0013655726,0.0013655725578448354,0.044590859D0,0.04459085937870411,-1.88594520e-03,-0.0018859451956608926,5.48181522E-06,5.481815215460204e-06,0.45890133D0,0.4589013256503592,1934.0606,1934.0605971110078,570.83145,570.8314466573327,1.0029962D0,1.0029962044171006,0.333694,0.3336939967063899,2.9006162,2.900616166062637,1.4936091,1.4936091311063522,1.3295621D0,1.3295620774854364,0.6652153,0.6652153001120147,1.3414076,1.341407614420503,4.0696244,4.069624374210425,0.10775004,0.10775004327959005
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_005,digitalnetb2,QMCPy DigitalNetB2,20260428,5,digitalnetb2,0.0046626938,0.0046626938141532785,0.0045747175,0.004574717454482449,0.064407296D0,0.06440729605679281,-6.92472620e-04,-0.000692472619819367,2.10183921E-06,2.1018392083586395e-06,0.069219091D0,0.0692190907294469,11402.505,11402.504536887847,1346.445,1346.4449550303384,1.095208D0,1.0952079659425191,0.21103827,0.2110382724061184,6.3873418,6.3873417655343525,2.4198156,2.419815649422472,0.58253768D0,0.5825376812794025,1.0863053,1.0863053402704121,4.7843378,4.784337844015299,6.5576918,6.557691762175511,0.28271607,0.2827160655188291
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_006,digitalnetb2,QMCPy DigitalNetB2,20260428,6,digitalnetb2,0.0030811307,0.003081130723766238,0.0059128395,0.0059128394768300195,0.095199274D0,0.09519927414388599,-3.02609716e-04,-0.0003026097156255689,9.51821457E-06,9.518214565894819e-06,0.50053297D0,0.5005329653415179,11054.268,11054.267611373156,672.27959,672.2795853719131,1.0293318D0,1.029331820055763,0.402445,0.4024450049690377,3.7165989,3.716598943529125,1.5885255,1.5885255408434171,1.0354707D0,1.0354707075417262,0.75473221,0.7547322088046151,2.5954331,2.5954330836514306,6.79934,6.799339961582285,0.213665,0.21366500340893008
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_007,digitalnetb2,QMCPy DigitalNetB2,20260428,7,digitalnetb2,0.00583481,0.00583480996107837,0.0028402652,0.0028402652388435793,0.035011744D0,0.03501174372365034,-1.31900054e-03,-0.0013190005395879575,3.99075998E-06,3.990759980537718e-06,0.27144842D0,0.27144841687515087,7984.1749,7984.174907122137,914.81889,914.8188915127182,1.0746186D0,1.0746186224985215,0.12978804,0.1297880386334902,6.9776819,6.977681899317772,2.5138816,2.51388161101022,1.7707789D0,1.7707788563803255,0.50066172,0.5006617180184593,3.0303105,3.0303104712441344,4.2965447,4.296544676839108,0.39711417,0.3971141686531722
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_008,digitalnetb2,QMCPy DigitalNetB2,20260428,8,digitalnetb2,0.0014819472,0.0014819472497428908,0.0022821478,0.002282147822447376,0.087558999D0,0.08755899948075897,-1.06031389e-03,-0.001060313885526608,2.30903703E-06,2.3090370343633637e-06,0.49054078D0,0.49054077510062793,6176.3263,6176.326306413127,1107.7786,1107.7785761426396,1.0616636D0,1.0616636423041421,0.43480997,0.43480996702171215,5.5105083,5.510508274616045,1.3721399,1.3721398765596753,1.0659081D0,1.065908108516103,0.92374395,0.9237439549347792,3.3297876,3.3297875583063807,7.67406,7.674060029838418,0.37509428,0.3750942815064957
ARM97_qmc,mac,run_e3sm_scm_ARM97_qmc64_0706_009,digitalnetb2,QMCPy DigitalNetB2,20260428,9,digitalnetb2,0.0036107702,0.0036107702465896325,0.0054546862,0.005454686225926705,0.027689157D0,0.027689156867507402,-5.60671222e-04,-0.0005606712220163584,6.35092923E-06,6.3509292323398565e-06,0.3157023D0,0.31570230247317177,9344.7041,9344.704053834983,874.59196,874.5919570709736,1.0413254D0,1.0413254484944254,0.10746874,0.10746874245736097,2.2010746,2.2010746444389078,2.2905377,2.290537700255286,1.8306011D0,1.8306011219503464,0.33208766,0.3320876619585441,2.7959111,2.7959111477327645,5.1810488,5.181048846375944,0.24037166,0.24037166410755242
